Frame 321: blue, (249.43885803222656, 620.537353515625), (367.458984375, 720.0)
Frame 321: red, (672.1328125, 241.36276245117188), (769.9471435546875, 316.6423645019531)
Frame 321: blue, (469.86279296875, 193.08355712890625), (543.342041015625, 264.9884338378906)
Frame 321: blue, (369.9815673828125, 240.2501220703125), (473.9847412109375, 345.2392578125)
Frame 321: red, (834.33447265625, 172.25994873046875), (886.519775390625, 295.3140869140625)
Frame 321: blue, (374.02130126953125, 191.16561889648438), (433.90655517578125, 258.0436706542969)
Frame 321: blue, (370.7822570800781, 192.82620239257812), (439.8273010253906, 282.6740417480469)
Frame 324: red, (811.2066650390625, 557.9228515625), (943.639404296875, 720.0)
Frame 324: blue, (248.4293212890625, 622.997802734375), (368.5177001953125, 720.0)
Frame 324: red, (1087.368896484375, 604.212646484375), (1206.425537109375, 720.0)
Frame 324: red, (672.129150390625, 240.9912109375), (769.941650390625, 316.84637451171875)
Frame 324: blue, (470.37481689453125, 192.55459594726562), (543.9320678710938, 264.9358215332031)
Frame 324: red, (834.6701049804688, 172.480712890625), (886.0474243164062, 295.46795654296875)
Frame 324: blue, (367.00067138671875, 237.95263671875), (457.46087646484375, 342.6934814453125)
Frame 324: blue, (367.9443359375, 196.91371154785156), (440.14849853515625, 330.617431640625)
Frame 324: blue, (369.623779296875, 195.60179138183594), (434.4049072265625, 286.92138671875)
Frame 327: blue, (248.11566162109375, 623.6045532226562), (368.66412353515625, 720.0)
Frame 327: red, (1085.5361328125, 604.419921875), (1204.707763671875, 720.0)
Frame 327: red, (812.0277099609375, 556.9686279296875), (944.313232421875, 720.0)
Frame 327: red, (673.1263427734375, 240.6365966796875), (769.72509765625, 316.8067626953125)
Frame 327: blue, (470.49993896484375, 193.1746826171875), (544.6554565429688, 264.77392578125)
Frame 327: blue, (370.44061279296875, 194.7119140625), (436.07958984375, 298.8330078125)
Frame 327: red, (834.4387817382812, 173.70108032226562), (885.4397583007812, 295.0416564941406)
Frame 327: blue, (367.4239501953125, 255.371826171875), (451.03515625, 342.0743408203125)
Frame 327: blue, (368.16241455078125, 199.3511505126953), (443.90863037109375, 326.24456787109375)
Frame 330: red, (811.9776611328125, 556.8848876953125), (943.3040771484375, 720.0)
Frame 330: blue, (248.69308471679688, 623.18603515625), (367.9629211425781, 720.0)
Frame 330: red, (1085.392578125, 605.0327758789062), (1202.990234375, 720.0)
Frame 330: blue, (470.407470703125, 193.69619750976562), (545.058349609375, 266.2735290527344)
Frame 330: red, (673.4190673828125, 241.12933349609375), (769.5841064453125, 316.75177001953125)
Frame 330: blue, (364.906494140625, 252.02801513671875), (448.401611328125, 340.00860595703125)
Frame 330: blue, (367.2905578613281, 199.3060302734375), (441.0629577636719, 326.80731201171875)
Frame 330: red, (834.15087890625, 172.62362670898438), (885.7738037109375, 295.0780334472656)
Frame 330: blue, (362.75445556640625, 274.7969970703125), (454.8182373046875, 357.2247314453125)
Frame 330: blue, (32.6185302734375, 597.837646484375), (165.690673828125, 720.0)
Frame 333: red, (812.5709228515625, 558.6834716796875), (942.4827880859375, 720.0)
Frame 333: red, (1084.31103515625, 603.400390625), (1202.9951171875, 720.0)
Frame 333: blue, (249.41757202148438, 623.89599609375), (368.1766052246094, 720.0)
Frame 333: red, (673.16552734375, 240.08270263671875), (769.5633544921875, 316.894287109375)
Frame 333: blue, (472.29437255859375, 190.89559936523438), (540.9510498046875, 260.2173767089844)
Frame 333: blue, (374.17034912109375, 189.10809326171875), (440.2864990234375, 291.787109375)
Frame 333: blue, (367.28521728515625, 255.1705322265625), (448.57977294921875, 345.314697265625)
